,Label,year,content_length,aver_word_length
0,1,2023,2412,6.859934853
1,1,2023,2232,6.61774744
2,1,2023,2018,6.52238806
3,1,2023,2342,7.048109966
4,1,2023,1217,7.052980132
5,1,2023,2387,6.983277592
6,1,2023,9851,7.235983264
7,1,2023,1427,6.23857868
8,1,2023,736,7.352272727
9,1,2023,989,7.25
10,1,2023,2062,6.851145038
11,1,2023,1043,7.030769231
12,1,2023,1049,6.439716312
13,1,2023,1804,5.911538462
14,1,2023,2553,7.044164038
15,1,2023,2811,6.633152174
16,1,2023,6240,6.927388535
17,1,2023,645,6.166666667
18,1,2023,3009,6.556675063
19,1,2023,2975,7.013477089
20,1,2023,4182,7.07961165
21,1,2023,2907,7.256410256
22,1,2023,857,7.32038835
23,1,2023,2359,6.830564784
24,1,2023,2278,6.821305842
25,1,2023,2882,6.841961853
26,1,2023,1034,6.751879699
27,1,2023,2573,7.334415584
28,1,2023,372,6.75
29,1,2023,1953,6.971428571
30,1,2023,3270,7.764075067
31,1,2023,2613,6.396600567
32,1,2023,986,7.622807018
33,1,2023,1408,6.860335196
34,1,2023,1251,7.038709677
35,1,2023,6872,6.814562002
36,1,2023,2167,6.855072464
37,1,2023,2401,6.791530945
38,1,2023,2570,6.787878788
39,1,2023,1341,6.057894737
40,1,2023,2708,6.778735632
41,1,2023,1405,7.573170732
42,1,2023,574,7.098591549
43,1,2023,3633,7.03539823
44,1,2023,1270,7.037974684
45,1,2023,1426,7.17816092
46,1,2023,4645,7.31956912
47,1,2023,5481,6.919075145
48,1,2023,1962,6.634241245
49,1,2023,1028,6.9
50,1,2023,431,6.854545455
51,1,2023,2298,7.207142857
52,1,2023,1748,5.57518797
53,1,2023,1218,6.116959064
54,1,2023,2583,6.633136095
55,1,2023,1797,7.300925926
56,1,2023,1554,6.804020101
57,1,2023,936,6.601626016
58,1,2023,1875,6.299610895
59,1,2023,6654,7.398989899
60,1,2023,552,5.987341772
61,1,2023,1314,7.018292683
62,1,2023,1466,6.181372549
63,1,2023,2255,7.017793594
64,1,2023,1064,6.1
65,1,2023,1826,6.679324895
66,1,2023,1440,6.5
67,1,2023,1479,7.222222222
68,1,2023,1401,6.248704663
69,1,2023,15271,7.418091561
70,1,2023,1151,6.529411765
71,1,2023,5860,6.945725916
72,1,2023,1448,6.869565217
73,1,2023,1216,7.272108844
74,1,2023,2033,6.726235741
75,1,2023,4183,6.724074074
76,1,2023,786,7.113402062
77,1,2023,12933,7.597333333
78,1,2023,1340,7.158536585
79,1,2023,2259,7.850980392
80,1,2023,2663,6.452247191
81,1,2023,7132,6.994394619
82,1,2023,1650,6.515981735
83,1,2023,4143,6.796610169
84,1,2023,4846,5.567164179
85,1,2023,2009,6.790697674
86,1,2023,5900,7.363120567
87,1,2023,2465,7.026058632
88,1,2023,2702,6.826086957
89,1,2023,754,6.626262626
90,1,2023,2243,6.724137931
91,1,2023,4752,7.039076377
